tool,machine,wave,global_index,slice_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
gplearn,anon-node-02,W1,51,1,feynman-bonus.10,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.10,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/formula.py
gplearn,anon-node-02,W1,52,2,feynman-i.18.12,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.18.12,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/formula.py
gplearn,anon-node-02,W1,53,3,feynman-ii.8.7,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.8.7,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/formula.py
gplearn,anon-node-02,W1,54,4,feynman_II_2_42,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,srbench1.0,srbench1.0/feynman,feynman_II_2_42,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/formula.py
gplearn,anon-node-02,W1,55,5,feynman_II_34_11,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11,srbench1.0,srbench1.0/feynman,feynman_II_34_11,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/formula.py
gplearn,anon-node-02,W1,56,6,feynman_II_15_5,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5,sim-datasets-data/srbench1.0/feynman/feynman_II_15_5,srbench1.0,srbench1.0/feynman,feynman_II_15_5,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/formula.py
gplearn,anon-node-02,W1,57,7,feynman_III_17_37,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37,sim-datasets-data/srbench1.0/feynman/feynman_III_17_37,srbench1.0,srbench1.0/feynman,feynman_III_17_37,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/formula.py
gplearn,anon-node-02,W1,58,8,feynman_II_36_38,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38,srbench1.0,srbench1.0/feynman,feynman_II_36_38,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/formula.py
gplearn,anon-node-02,W1,59,9,feynman_II_38_3,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,srbench1.0,srbench1.0/feynman,feynman_II_38_3,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/formula.py
gplearn,anon-node-02,W1,60,10,feynman-i.27.6,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.27.6,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/formula.py
