tool,machine,wave,global_index,slice_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
tpsr,anon-node-01,W5,1,1,feynman-iii.15.12,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12/formula.py
tpsr,anon-node-01,W5,2,2,feynman-iii.15.14,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.14,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14/formula.py
tpsr,anon-node-01,W5,3,3,feynman-ii.11.20,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,feynman-ii.11.20,A,strict,llmsr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/formula.py
tpsr,anon-node-01,W5,4,4,feynman-iii.12.43,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,srsd,srsd/srsd-feynman_easy_dummy,feynman-iii.12.43,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43/formula.py
tpsr,anon-node-01,W5,5,5,feynman-ii.11.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,srsd,srsd/srsd-feynman_hard,feynman-ii.11.27,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/formula.py
tpsr,anon-node-01,W5,6,6,feynman-ii.11.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.27,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/formula.py
tpsr,anon-node-01,W5,7,7,CRK22,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22,sim-datasets-data/llm-srbench/chem_react/CRK22,llm-srbench,llm-srbench/chem_react,CRK22,A,strict,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22/formula.py
tpsr,anon-node-01,W5,8,8,feynman-ii.34.29a,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.34.29a,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a/formula.py
tpsr,anon-node-01,W5,9,9,feynman-ii.15.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
tpsr,anon-node-01,W5,10,10,feynman-bonus.7,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7,srsd,srsd/srsd-feynman_hard,feynman-bonus.7,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7/formula.py
